,MS_SubClass,MS_Zoning,Lot_Area,Neighborhood,Overall_Qual,Mas_Vnr_Area,Exter_Qual,Foundation,Bsmt_Qual,Bsmt_Exposure,Total_Bsmt_SF,Heating_QC,Central_Air,Electrical,Gr_Liv_Area,Full_Bath,Kitchen_Qual,TotRms_AbvGrd,Fireplaces,Fireplace_Qu,Garage_Type,Garage_Finish,Garage_Cars,Paved_Drive,Wood_Deck_SF,Open_Porch_SF,Sale_Type,Sale_Condition,Age_of_Property,Sale_Price,PID
746,1,6,8635,3,1,0,3,0,5,3,1072,4,1,4,1072,1,4,5,0,3,4,3,5,1,0,0,9,4,85,126500,903236040
748,12,5,11414,3,5,0,3,0,2,3,728,4,0,4,2019,1,2,8,0,3,4,3,2,2,509,135,9,4,100,167500,903425245
749,12,6,8094,20,0,0,3,2,5,3,1048,2,1,0,1768,2,4,8,0,3,4,3,2,2,0,0,9,4,95,155000,903427120
750,12,6,2500,20,5,0,2,2,5,3,910,0,1,4,1826,1,0,7,1,2,0,3,1,2,0,0,9,4,95,155000,903429080
752,15,6,5520,20,0,0,3,1,5,3,755,0,1,4,2229,1,4,8,0,3,6,1,0,2,0,198,9,0,98,104000,903430060
754,12,6,6876,11,0,0,3,1,5,3,720,1,1,4,1930,2,4,8,0,3,0,3,1,2,0,0,9,4,83,149000,903451090
755,1,6,6240,11,2,0,3,1,5,3,780,4,1,0,1208,1,4,5,0,3,4,3,2,2,0,23,9,4,85,103000,903458170
756,12,6,5775,20,0,0,3,0,5,3,483,0,1,4,1427,1,2,7,0,3,0,3,1,2,0,24,9,4,95,123000,903475100
757,11,6,5852,20,5,188,3,0,5,3,1020,4,0,1,1864,2,4,9,0,3,6,1,0,0,0,188,9,4,108,97500,903476090
759,9,6,5160,11,2,0,3,2,2,0,858,4,1,4,892,1,2,5,0,3,6,1,0,0,0,0,0,0,87,87550,903481130
761,2,5,4280,21,2,0,3,1,1,3,560,0,1,0,860,1,1,4,0,3,3,3,1,2,0,0,9,4,64,88750,904100190
762,0,5,10800,7,1,0,3,1,2,1,1200,4,1,4,1200,3,4,5,0,3,6,1,0,2,120,0,9,2,23,179000,904301060
764,0,5,10547,7,1,0,3,2,2,1,1152,4,1,4,1152,2,4,6,0,3,4,3,1,0,0,0,9,4,32,159900,904301100
765,1,5,10020,7,9,0,1,0,1,1,683,2,0,0,904,0,1,4,0,3,6,1,0,2,0,0,9,4,88,87550,904301375
766,12,4,6629,7,0,0,3,0,5,3,672,4,0,4,1369,2,4,6,0,3,4,3,1,2,147,0,9,4,85,103600,904351200
767,5,5,9780,7,1,0,3,2,5,3,585,4,0,0,1112,2,4,6,0,3,4,3,1,0,0,0,9,4,76,87550,904351240
768,10,5,12886,21,1,0,3,1,2,0,520,0,1,4,1464,2,4,6,1,5,0,2,2,2,302,0,9,4,47,175000,905101260
769,2,5,8816,21,1,0,3,2,5,3,1121,4,1,4,1121,1,4,5,0,3,4,3,2,2,0,80,9,4,47,139000,905101490
771,2,5,11625,21,1,172,3,1,5,3,1052,4,1,4,1052,1,4,6,1,4,0,0,1,2,0,215,9,0,43,113500,905103070
772,2,5,7800,21,1,89,3,2,5,3,864,0,1,4,899,1,2,5,0,3,0,0,1,2,64,0,9,4,43,130000,905105190
773,9,5,8014,21,0,23,3,1,2,1,456,4,1,4,1034,1,4,5,1,1,1,0,2,2,0,0,9,4,32,149900,905107310
774,9,5,7252,21,1,0,3,1,2,0,858,4,1,4,860,1,4,5,0,3,4,3,2,2,120,0,9,4,28,134900,905108190
775,9,5,8740,21,1,0,3,1,5,0,840,4,1,4,860,1,4,4,0,3,4,3,2,2,0,0,9,4,28,137000,905108220
776,2,5,11616,21,1,116,3,1,5,3,1092,4,1,4,1092,1,4,6,1,4,0,3,1,2,0,20,9,4,48,139000,905200220
777,10,5,15400,21,1,0,3,1,5,3,552,4,1,4,1774,2,4,8,1,5,0,3,1,2,290,40,9,4,49,165000,905200260
778,10,5,15312,21,0,54,3,1,5,0,1138,0,1,4,1138,1,4,6,1,5,0,2,2,2,0,0,0,4,50,148000,905200350
780,2,5,9000,21,6,0,3,3,3,4,0,1,0,4,860,1,1,5,0,3,6,1,0,0,0,0,9,4,63,87550,905228050
782,2,5,25095,4,1,0,3,1,5,1,1437,0,1,4,1473,1,0,5,2,2,0,3,1,2,0,48,9,5,42,143000,905325020
784,1,5,12342,7,2,0,3,1,5,3,861,0,1,4,861,1,4,4,0,3,4,3,2,2,158,0,9,4,70,87550,905377130
785,2,5,10708,4,1,0,2,1,5,3,1617,0,1,0,1867,1,4,7,3,2,0,0,1,2,476,0,0,4,55,190000,905401100
786,2,5,13680,7,4,0,3,3,3,4,0,0,1,0,1733,2,4,8,1,2,0,3,2,2,0,0,9,4,55,139600,905402060
789,2,5,9571,7,1,0,3,1,5,3,1073,4,1,0,1073,1,4,5,0,3,0,3,1,2,0,0,9,4,54,121500,905451300
790,2,5,9571,7,1,0,3,1,5,3,1276,4,1,0,1276,1,4,5,0,3,0,3,1,2,0,0,0,0,52,87550,905451340
791,13,5,9350,7,0,0,3,1,5,3,747,0,1,4,1639,1,2,6,1,2,4,3,1,2,0,50,9,4,64,154400,905452040
792,1,5,9340,7,2,0,3,1,5,3,672,4,1,4,860,1,4,4,0,3,0,3,1,0,0,113,9,4,69,113000,905452050
796,5,5,11409,7,1,0,3,1,5,3,768,2,1,4,1716,1,4,8,1,2,0,3,1,2,0,0,9,4,61,131000,905478030
799,10,5,10778,22,5,0,2,2,2,3,1054,2,1,4,1061,1,2,4,0,3,0,3,2,2,114,36,9,4,20,162000,906201021
801,5,5,12327,22,8,0,2,1,2,1,1496,0,1,4,2132,1,2,5,1,2,2,0,2,2,349,40,9,4,27,316600,906201130
802,2,5,14684,22,5,234,2,1,2,2,2158,2,1,4,2196,2,2,7,1,5,0,2,3,2,84,70,9,4,20,271900,906203120
803,13,5,9317,22,5,137,2,2,2,3,740,0,1,4,1775,2,2,7,1,5,0,3,2,2,234,72,9,4,17,213000,906223060
804,13,5,10560,22,5,0,2,2,2,3,1079,0,1,4,1879,2,2,8,1,5,0,2,2,2,400,100,9,4,17,239900,906223080
805,13,5,9828,22,8,0,2,2,2,3,1128,0,1,4,2020,2,2,8,1,5,0,2,2,2,0,155,9,4,15,239500,906223210
807,0,5,7018,22,1,0,3,3,3,4,0,4,1,4,1535,2,4,8,0,3,0,3,2,2,0,0,9,2,31,118964,906226070
810,0,5,7018,22,1,0,3,3,3,4,0,4,1,4,1535,2,4,8,0,3,0,3,2,2,0,0,9,2,31,118858,906226100
811,0,5,7018,22,1,0,3,3,3,4,0,4,1,4,1535,2,4,8,0,3,0,3,2,2,0,0,9,2,31,118858,906226110
814,0,5,7007,22,1,0,3,3,3,4,0,4,1,4,1513,2,4,8,0,3,0,3,2,2,0,0,9,2,31,113722,906226140
815,0,5,11855,22,5,23,3,2,0,3,1168,0,1,4,2462,4,4,8,2,5,2,0,4,2,312,0,9,4,10,269500,906230010
816,0,5,7939,22,5,23,3,2,0,3,1168,0,1,4,2462,4,4,8,2,5,2,0,4,2,312,0,9,4,10,269500,906230020
817,0,5,7976,22,5,23,3,2,0,3,1168,0,1,4,2462,4,4,8,2,5,2,0,4,2,312,0,9,4,10,269500,906230030
819,2,5,10637,5,8,336,2,2,0,1,1705,0,1,4,1718,2,2,7,1,2,0,2,3,2,208,44,9,4,3,297000,906340110
820,2,5,10226,5,8,270,2,2,0,1,1622,0,1,4,1630,2,0,8,1,2,0,2,3,2,172,42,9,4,2,295493,906340120
821,2,5,10816,5,3,364,0,2,0,1,1720,0,1,4,1720,2,0,8,1,2,0,2,3,2,208,104,9,4,2,332000,906340130
822,2,5,9178,5,8,0,2,2,2,0,1468,0,1,4,1468,2,2,6,1,2,0,2,3,2,192,142,9,4,2,239900,906378110
823,13,5,10769,5,8,0,2,2,2,0,866,0,1,4,1768,2,2,7,0,3,0,2,2,2,144,105,9,4,3,212000,906380050
824,2,5,11422,5,8,352,2,2,0,0,1838,0,1,4,1838,2,2,7,2,2,0,2,2,2,154,222,9,4,3,272500,906380060
825,2,5,11923,5,3,0,2,2,0,3,1800,0,1,4,1800,2,0,7,0,3,0,0,2,2,288,136,9,4,3,239000,906380100
826,2,5,8814,5,5,180,2,2,2,3,1604,0,1,4,1604,2,2,8,1,2,0,2,2,2,123,110,9,0,4,220000,906380130
827,2,5,6762,5,5,0,2,2,2,0,1282,0,1,4,1290,2,2,6,1,2,0,2,2,2,168,0,9,4,3,200000,906380210
828,2,5,10324,5,8,140,2,2,2,0,1254,0,1,4,1254,2,2,5,0,3,0,2,3,2,168,92,9,4,2,221800,906380220
829,2,5,7314,5,5,82,2,2,2,0,1232,0,1,4,1232,2,2,6,0,3,0,2,2,2,132,0,9,4,3,194500,906392070
830,2,5,11645,5,8,76,2,2,0,1,1498,0,1,4,1498,2,2,7,1,2,0,0,3,2,144,98,9,4,5,237000,906392110
832,10,5,12800,22,5,145,2,2,2,1,1518,2,1,4,1644,2,2,5,1,5,0,0,2,2,80,0,9,4,21,275000,906402060
834,13,5,28698,4,1,0,3,2,5,1,1013,4,1,4,2126,2,4,7,0,3,0,0,2,2,486,0,9,0,43,185000,906475070
835,2,5,12464,5,1,0,3,2,2,3,1040,2,1,4,1040,1,2,6,0,3,4,3,2,2,168,0,9,4,14,152000,907126010
836,2,5,9757,5,1,0,3,2,5,3,990,0,1,4,990,1,4,5,0,3,0,2,1,2,66,0,9,4,16,143000,907126050
837,13,5,15426,5,0,0,3,2,2,3,928,0,1,4,1764,2,2,7,0,3,0,2,2,2,276,99,9,4,13,231500,907130100
838,13,5,10667,5,5,0,2,2,2,0,799,0,1,4,1661,2,2,6,1,5,0,2,2,2,158,61,5,4,14,212000,907131090
839,2,5,14753,5,5,0,3,2,2,2,1463,0,1,4,1463,2,4,5,0,3,0,0,2,2,0,81,9,4,12,207000,907131190
840,2,5,10859,5,1,0,3,2,2,3,1097,0,1,4,1097,1,4,6,0,3,0,3,2,2,392,64,9,4,16,145000,907135040
842,13,5,10400,5,5,0,3,2,2,0,866,0,1,4,1779,2,2,6,0,3,0,2,2,2,198,36,9,4,12,197900,907175100
843,2,5,10335,5,5,183,2,2,2,1,1490,0,1,4,1501,2,2,6,0,3,0,2,2,2,144,29,9,4,11,204000,907180130
844,2,5,9017,5,5,0,2,2,2,0,1431,0,1,4,1431,2,2,6,0,3,0,0,2,2,0,35,9,4,11,192000,907181100
845,13,5,8750,5,0,120,3,2,2,3,928,0,1,4,1772,2,4,7,1,5,0,2,2,2,150,96,9,4,12,200000,907185050
849,2,5,16285,5,5,0,2,2,2,3,1413,0,1,4,1430,2,2,6,0,3,0,2,2,2,0,33,9,4,9,187100,907194110
853,2,5,16269,5,1,76,3,0,2,0,907,4,1,4,907,1,4,5,0,3,0,3,1,2,72,0,9,4,32,140000,907201220
854,2,5,6950,5,1,40,3,1,5,3,914,4,1,4,914,1,4,5,0,3,0,3,2,2,0,0,9,4,31,134900,907201280
856,2,5,7000,5,1,90,2,1,5,3,864,0,1,4,864,1,4,6,0,3,0,3,1,2,0,0,9,4,32,136500,907202080
858,2,5,15523,5,1,0,3,1,5,0,864,0,1,4,864,1,4,5,1,1,0,3,1,2,0,0,9,4,38,133500,907227030
859,2,5,7200,5,1,0,3,1,5,0,894,4,1,4,894,1,4,6,0,3,4,2,2,2,215,0,9,4,38,123000,907227080
860,9,5,7200,5,1,0,3,1,2,0,768,2,1,4,860,1,4,5,0,3,4,0,1,2,192,0,9,4,38,133900,907227110
861,9,5,8445,5,1,0,3,1,2,0,768,4,1,4,860,1,4,5,0,3,4,3,2,2,58,0,9,4,38,133000,907227290
862,2,5,11664,5,5,0,2,2,2,0,1569,0,1,4,1611,2,2,6,0,3,0,2,3,2,262,93,9,4,8,250000,907250070
863,13,5,12334,5,8,198,2,2,2,0,1068,0,1,4,2184,2,2,8,1,2,2,2,2,2,192,132,9,4,7,254750,907252060
864,2,5,11838,5,8,0,2,2,2,0,1753,0,1,4,1788,2,0,7,1,5,0,2,2,2,202,151,9,4,9,236500,907252210
865,13,5,11885,5,8,108,2,2,2,0,1299,0,1,4,1872,2,0,7,1,5,2,2,2,2,160,122,9,4,9,261500,907252220
866,13,5,11050,5,3,204,2,2,0,2,1440,0,1,4,2153,2,0,8,2,0,0,0,3,2,253,142,9,4,10,313000,907253130
867,13,5,8749,5,5,0,2,2,2,3,840,0,1,4,1725,2,2,6,0,3,0,2,2,2,0,48,9,4,8,198500,907260030
869,2,5,15750,5,8,260,2,2,2,1,1462,0,1,4,1513,2,2,5,1,5,0,0,2,2,135,34,9,4,11,220000,907275010
870,2,5,11883,5,5,196,2,2,2,1,1504,0,1,4,1504,2,2,6,1,5,0,0,2,2,115,66,9,4,14,203000,907275090
876,2,5,9750,5,5,171,2,2,2,3,1630,0,1,4,1630,2,2,6,1,5,0,3,2,2,74,234,9,4,10,213000,907290090
877,3,6,4435,5,0,170,2,2,2,0,848,0,1,4,860,1,2,4,0,3,0,0,2,2,140,0,9,4,7,144000,907290180
878,3,6,4435,5,0,170,2,2,2,0,848,0,1,4,860,1,2,4,0,3,0,0,2,2,140,0,9,4,7,140000,907290210
879,2,5,10200,5,8,180,2,2,2,0,1578,0,1,4,1602,2,2,7,1,2,0,2,3,2,0,48,9,4,3,293200,907410130
881,2,5,8487,5,5,210,2,2,2,0,1500,0,1,4,1500,2,2,6,0,3,0,2,2,2,192,36,9,4,6,190000,907414020
882,13,5,8633,5,0,0,2,2,2,3,738,0,1,4,1476,2,2,7,0,3,0,0,2,2,100,35,9,4,5,173500,907414080
883,13,5,11069,5,0,0,2,2,2,3,608,0,1,4,1396,2,2,6,1,2,2,0,2,2,100,36,9,4,3,170000,907420040
884,2,5,8777,7,2,0,3,1,3,4,0,0,1,4,1126,2,2,5,0,3,4,0,2,0,0,96,9,4,61,108000,908102050
885,2,5,9937,7,1,0,3,2,5,3,1486,0,1,4,1486,1,4,7,0,3,4,0,2,2,0,0,9,4,46,167000,908102270
886,2,5,8877,7,2,0,3,1,5,2,816,0,1,4,860,1,4,3,1,2,4,3,1,2,0,0,9,4,72,100000,908102290
887,9,5,7301,7,5,500,2,3,3,4,0,0,1,4,1922,3,2,7,1,0,2,2,2,2,0,0,3,4,7,198500,908128060
888,13,5,7950,7,0,140,3,1,5,3,690,4,1,4,1426,1,4,6,0,3,0,0,2,2,252,0,9,4,33,159500,908151050
889,2,5,10682,7,2,0,3,1,5,3,1014,4,1,4,1149,1,4,7,0,3,5,0,1,2,0,240,9,4,50,127000,908152035
890,10,5,7200,7,0,255,3,1,5,0,1041,0,1,4,1125,1,4,6,1,1,4,3,1,2,296,0,9,0,34,125000,908152100
891,2,5,13286,7,3,340,0,2,0,3,1698,0,1,4,1698,2,0,8,1,2,0,0,3,2,327,64,9,4,3,320000,908154040
892,8,6,3675,7,0,80,3,5,2,1,547,2,1,4,1072,1,4,5,0,3,1,0,2,2,0,28,9,4,5,145500,908186080
893,2,5,9405,7,1,0,3,1,5,3,698,0,1,4,860,1,4,4,0,3,6,1,0,2,0,200,9,4,63,118000,908201040
894,2,5,6410,7,2,0,3,1,5,3,876,4,1,0,876,1,4,5,0,3,4,3,1,2,0,0,9,4,51,87550,908203090
895,2,5,11767,7,1,0,3,1,1,2,1078,4,1,0,1368,1,4,6,0,3,0,2,1,2,0,41,9,4,60,120000,908225290
896,5,5,8405,7,2,0,3,3,3,4,0,4,0,1,1529,2,4,9,0,3,4,3,1,0,92,0,9,4,65,98000,908225370
897,1,5,4060,7,1,0,3,2,1,3,864,0,1,4,864,1,4,4,0,3,6,1,0,2,0,96,9,4,88,99900,908229020
898,2,5,10206,7,4,0,3,3,3,4,0,1,0,1,944,1,1,4,0,3,4,3,2,2,0,0,9,4,58,87550,908250030
899,0,5,10926,7,1,74,3,1,5,3,1678,4,1,4,1678,2,4,10,0,3,6,1,0,2,0,0,9,4,51,119900,908275040
900,2,5,11767,7,1,259,3,1,5,3,1150,0,1,4,1560,1,4,7,1,5,0,3,1,2,0,0,9,4,54,103500,908275110
901,2,5,8926,7,2,0,3,1,5,3,672,0,1,0,960,1,4,5,0,3,1,3,1,2,64,0,0,0,54,112000,908276150
902,5,5,12354,7,0,0,3,0,5,2,684,2,1,4,1196,1,2,7,0,3,4,3,2,2,0,46,4,4,90,110000,909101010
903,5,5,8212,7,1,0,3,1,5,3,720,0,1,4,1298,1,4,6,2,2,4,3,1,2,84,0,9,4,69,122000,909101100
904,5,5,10998,7,1,0,3,1,5,3,984,0,1,4,1604,2,4,6,0,3,4,3,2,2,0,68,9,4,69,117000,909101140
905,5,4,6300,24,1,88,3,2,5,3,832,4,1,4,1268,1,4,7,2,2,1,3,1,2,0,0,9,0,72,160000,909129090
906,5,4,4500,24,1,0,3,0,5,3,793,0,1,4,1520,1,4,6,0,3,4,3,1,2,0,0,9,0,78,159434,909129100
907,1,5,8400,24,6,0,3,1,5,3,290,4,0,1,860,1,1,3,0,3,4,3,1,0,0,0,9,4,90,87550,909175080
909,15,5,15863,24,5,0,3,0,5,3,824,0,1,4,2462,2,4,12,2,5,1,0,2,2,136,63,9,4,90,197000,909179020
910,12,5,5707,24,0,0,3,0,5,3,583,2,1,1,1242,1,4,6,1,2,4,3,1,2,329,96,9,4,75,105000,909250080
911,5,5,7804,24,2,0,3,0,5,3,1122,4,1,4,1981,2,2,7,2,5,4,3,2,2,431,44,9,4,82,135000,909250220
912,1,5,8574,6,0,0,2,0,5,3,816,0,1,4,1232,1,2,6,1,2,4,3,2,2,0,0,9,4,94,147500,909251050
913,5,5,6171,24,0,0,3,0,5,3,976,0,1,4,1608,2,2,7,1,2,4,3,1,2,147,16,9,4,85,137450,909251170
915,5,5,7558,6,0,0,3,0,5,3,896,2,1,4,1913,1,4,9,1,5,4,3,2,2,0,0,9,4,82,177000,909253010
916,5,5,6292,24,5,0,3,0,5,3,861,2,1,4,1477,2,4,6,1,2,4,3,1,2,0,50,9,4,82,145000,909253180
917,12,5,7155,6,5,0,3,0,5,2,600,0,1,4,1228,1,4,6,1,2,4,3,1,2,0,113,9,4,92,137000,909254010
918,12,5,10918,6,5,0,2,0,2,3,1276,0,1,4,2080,1,2,9,2,2,4,3,1,2,0,0,9,4,84,234000,909257050
919,5,5,13680,6,1,0,3,1,5,3,840,0,1,4,1567,1,4,6,2,5,4,3,2,2,0,21,9,4,70,205000,909275080
920,12,5,7500,6,0,0,3,1,5,3,771,1,1,4,1494,1,2,7,2,2,0,3,1,1,0,0,9,4,68,177500,909276110
921,5,5,9600,6,1,0,2,0,5,3,728,0,1,4,1308,1,4,7,2,5,4,3,1,2,0,70,9,4,70,160000,909276200
922,2,5,14680,6,1,0,3,1,5,3,1273,0,1,4,1273,1,4,5,0,3,0,3,1,2,483,0,9,4,50,155000,909277090
923,1,5,13360,6,1,0,3,0,2,3,876,0,1,4,964,1,4,5,0,3,4,3,2,2,0,0,9,4,89,163500,909277100
924,5,5,7681,6,1,0,3,0,5,3,731,0,1,4,1343,1,4,7,1,2,4,3,1,2,192,0,9,4,89,154900,909278020
926,2,5,9100,6,1,0,3,0,5,2,1112,0,1,4,1112,1,4,6,1,2,0,3,1,2,0,0,9,3,56,144800,909282130
927,12,5,12000,6,5,0,3,1,5,3,704,0,1,4,1564,1,1,7,1,2,0,3,1,2,0,0,9,4,69,174500,909425060
928,2,5,13339,6,0,132,3,1,5,3,1561,4,1,4,1561,2,4,6,1,2,0,0,2,2,0,148,9,4,50,193000,909425130
929,5,5,15600,6,1,0,3,0,5,3,1067,1,0,4,1523,2,1,7,1,5,0,3,1,2,0,0,9,4,61,158000,909426090
932,14,6,1733,1,0,0,3,1,5,3,516,4,1,4,1032,1,4,5,1,5,4,3,2,2,279,0,9,4,30,115000,909451040
933,14,6,1488,1,0,0,3,1,2,2,561,4,1,4,1229,1,2,5,1,5,0,0,2,2,176,0,9,4,30,137000,909451100
934,14,6,1612,1,0,0,3,1,2,3,561,4,1,4,1229,1,4,5,1,5,0,0,2,2,154,0,9,4,30,121000,909451140
935,14,6,1300,1,0,0,3,1,2,3,561,4,1,4,1229,1,4,5,1,5,0,0,2,2,150,0,9,4,30,124000,909451180
938,2,5,21695,6,0,260,2,1,2,3,880,0,1,4,1680,2,2,5,1,2,0,0,2,2,292,44,9,4,22,222000,909475300
939,12,6,10690,11,1,0,3,1,5,3,672,2,1,0,1344,1,4,6,0,3,4,3,1,2,0,128,9,4,90,147000,910202070
940,12,6,8660,11,1,0,3,0,5,3,760,0,0,4,2168,2,2,11,0,3,4,3,2,2,467,160,9,4,110,123000,910204050
943,1,1,10200,11,2,0,3,0,5,3,572,1,0,2,860,1,4,4,0,3,4,3,1,0,0,0,9,4,85,87550,911104060
944,3,6,3843,6,8,174,0,2,0,1,1596,0,1,4,1648,2,0,5,1,2,0,0,2,2,162,53,6,5,3,230000,911370500
945,1,3,21780,11,6,0,1,1,3,4,0,4,0,0,860,1,4,4,0,3,4,3,1,0,119,24,3,4,100,87550,912251110
946,13,5,10125,14,8,0,2,2,2,3,1107,0,1,4,2052,2,2,7,1,5,2,0,3,2,210,91,9,4,10,251000,914465020
947,5,5,12822,14,5,0,2,2,0,3,1434,0,1,4,2149,1,2,6,1,0,0,2,2,2,168,43,9,0,7,239686,914465040
948,2,5,12118,14,5,108,2,2,0,2,1710,0,1,4,1710,2,2,7,1,2,0,0,2,2,100,48,9,4,6,240000,914465055
949,13,5,12209,14,0,0,3,2,0,3,804,0,1,4,1961,2,2,7,1,5,2,0,2,2,125,192,9,4,9,215000,914474070
952,0,5,10125,14,1,0,3,1,3,4,0,4,1,4,1734,2,2,8,0,3,0,3,2,2,0,0,0,4,33,126000,914476020
953,10,5,9947,14,5,0,3,2,2,0,1188,0,1,4,1217,2,2,6,0,3,0,3,2,2,168,27,9,4,20,173000,914476380
954,2,5,11070,14,1,0,3,2,2,3,1582,4,1,4,1595,2,4,5,0,3,4,3,2,2,0,0,0,0,19,152000,914476430
957,2,5,12898,26,3,70,2,2,0,1,1620,0,1,4,1620,2,0,6,1,0,0,0,3,2,228,0,9,4,3,315500,916380070
958,13,5,13159,26,5,0,3,2,0,0,846,2,1,4,1692,2,2,6,0,3,0,2,2,2,208,114,6,5,1,224500,916382010
960,2,5,14463,26,3,406,0,2,0,1,1641,0,1,4,1641,2,0,7,0,3,0,0,3,2,0,95,9,4,2,316500,916382110
961,2,5,8925,26,8,0,2,2,2,0,1466,0,1,4,1466,2,2,7,0,3,0,0,3,2,100,18,9,4,3,201000,916386140
962,2,5,11457,26,0,0,3,1,2,2,1392,4,1,4,1412,2,2,6,1,5,0,3,2,2,0,0,9,4,22,175000,916403010
964,10,5,14419,26,5,310,3,2,2,1,1645,0,1,4,1479,2,2,7,1,1,0,0,2,2,224,238,9,4,23,213500,916403250
966,13,5,9157,26,5,0,2,2,2,3,912,0,1,4,2014,2,2,9,0,3,0,0,2,2,124,114,9,0,7,170000,916460110
967,2,5,14601,26,3,584,0,2,0,0,1838,0,1,4,1838,2,0,8,1,2,0,0,3,2,270,68,9,4,4,315000,916475040
968,2,5,12633,26,3,290,0,2,0,1,1978,0,1,4,1978,2,0,7,1,2,0,0,3,2,308,52,9,4,3,335000,921128050
969,2,5,12518,14,1,182,3,1,5,3,1008,2,1,4,1008,1,2,6,0,3,0,3,1,2,144,0,9,4,42,139500,923201100
970,2,5,21750,14,1,75,3,3,3,4,0,4,1,4,1771,1,4,9,1,5,0,3,2,2,0,0,9,4,50,115000,923202060
971,3,6,4500,14,0,320,3,2,0,3,1204,0,1,4,1204,2,4,5,0,3,0,0,2,2,0,247,9,4,12,162000,923203110
976,2,5,13383,14,1,176,3,1,5,3,1188,0,1,4,1404,2,4,7,1,4,0,3,2,2,0,16,9,4,41,160000,923227080
977,8,6,1477,13,2,0,3,1,2,0,630,4,1,4,860,1,4,3,0,3,0,3,1,2,0,0,9,4,40,87550,923228110
978,14,6,1533,13,2,0,3,1,5,3,546,4,1,4,1344,1,4,6,1,5,6,1,0,2,0,0,9,4,40,97000,923228150
979,14,6,2217,13,2,0,3,1,5,3,546,4,1,4,1092,1,4,6,0,3,0,2,1,2,238,0,9,4,40,88000,923228230
980,9,5,7689,14,1,0,3,1,2,0,796,2,1,4,860,1,4,4,0,3,4,3,1,2,138,0,9,4,38,131900,923230200
981,10,5,7706,14,0,0,3,1,2,0,384,0,1,4,1091,1,4,5,0,3,0,0,1,2,280,0,9,4,17,131250,923252075
983,2,5,8780,14,1,0,3,1,5,3,833,0,1,4,860,1,4,5,0,3,6,1,0,2,0,0,9,4,25,112000,923275140
985,5,5,14115,14,1,0,3,5,2,3,796,0,1,4,1362,1,4,5,0,3,0,3,2,2,40,30,9,4,17,143000,923400025
986,13,5,10429,14,1,0,3,2,2,3,624,4,1,4,1287,1,4,6,0,3,4,3,2,2,150,0,9,4,18,130000,923400110
987,2,5,9819,14,0,0,3,2,5,1,1567,4,1,4,1567,2,2,5,2,5,0,2,2,2,264,32,9,4,33,196000,924100040
988,13,5,10457,14,1,178,2,1,5,1,784,0,1,4,1632,1,4,7,1,5,0,2,2,2,0,173,9,4,41,173000,924100060
989,2,5,11029,15,0,0,0,1,2,3,1184,0,1,4,1414,1,4,6,1,5,0,3,2,2,0,51,9,4,52,176500,526351030
992,13,5,8702,8,0,0,3,2,5,3,926,0,1,4,1604,2,4,7,1,5,0,0,2,2,0,36,9,4,13,187500,527105050
993,13,5,8139,8,0,119,3,2,2,3,680,2,1,4,1470,2,4,7,1,5,2,0,2,2,192,49,9,4,15,165000,527106050
994,13,5,9535,8,0,0,3,2,2,1,926,0,1,4,1604,2,4,7,0,3,0,0,2,2,100,82,9,4,12,195500,527106140
996,13,5,15038,8,0,0,3,2,2,3,916,2,1,4,1636,2,4,7,1,5,0,0,2,2,168,84,9,4,14,173000,527107010
997,2,5,14137,8,1,0,2,2,2,3,1348,2,1,4,1384,2,2,7,0,3,0,3,2,2,0,39,9,4,14,177900,527107090
998,13,5,21872,8,5,0,3,2,2,1,729,0,1,4,1446,2,4,6,1,5,0,3,2,2,264,22,9,4,14,175000,527107210
999,3,5,4923,25,8,0,2,2,0,0,1593,0,1,4,1593,1,0,5,1,2,0,0,2,2,0,120,9,4,9,286000,527127140
1000,3,5,6264,25,8,0,2,2,0,2,1664,0,1,4,1682,1,2,6,1,5,0,0,2,2,0,0,9,4,13,247900,527131110
1002,3,5,5070,25,8,0,2,2,2,2,1280,0,1,4,1280,2,2,5,0,3,0,2,2,2,0,82,9,4,18,180000,527145090
1003,13,5,10839,8,0,0,3,2,2,3,926,0,1,4,1604,2,4,7,1,5,0,0,2,2,0,36,9,4,13,181000,527161010
1005,13,5,8000,8,0,0,3,2,2,3,773,2,1,4,1658,2,4,8,1,5,0,0,2,2,224,84,9,4,15,188000,527163100
1006,13,5,10832,8,5,0,2,2,2,3,712,0,1,4,1895,2,2,7,1,5,0,0,2,2,143,46,9,4,16,194500,527164120
1008,3,5,4671,25,8,0,2,2,2,2,1228,2,1,4,1228,2,2,5,1,2,0,0,2,2,168,120,9,4,22,189000,527183030
1012,2,5,15401,25,3,296,0,2,0,1,1884,0,1,4,1884,2,0,7,1,2,0,0,3,2,214,76,9,4,6,335000,527214030
1013,2,5,31220,8,0,0,3,1,5,3,1632,4,1,0,1474,1,4,7,2,2,0,3,2,2,0,0,9,4,58,115000,527226020
1014,3,5,8118,25,3,178,0,2,0,1,1710,0,1,4,1710,2,0,6,1,2,0,2,2,2,156,48,9,4,3,334000,527252080
1015,2,5,47280,8,0,44,3,1,5,3,1488,2,1,4,1488,2,4,6,1,5,0,2,2,2,0,0,9,3,60,133000,527276040
1016,13,5,20544,19,5,123,3,1,2,3,791,2,1,4,2093,2,4,7,1,5,0,0,2,2,364,63,9,4,24,215000,527301170
