,MS_SubClass,MS_Zoning,Neighborhood,Overall_Qual,Mas_Vnr_Area,Exter_Qual,Foundation,Bsmt_Qual,Bsmt_Exposure,Total_Bsmt_SF,Heating_QC,Central_Air,Electrical,Gr_Liv_Area,Full_Bath,Half_Bath,Kitchen_Qual,TotRms_AbvGrd,Fireplaces,Fireplace_Qu,Garage_Type,Garage_Finish,Garage_Cars,Paved_Drive,Wood_Deck_SF,Open_Porch_SF,Sale_Type,Sale_Condition,Latitude,Age_of_Property,Sale_Price,PID
652,2,5,15,1,0,3,1,5,3,1200,4,1,4,1200,1,0,4,6,0,3,0,0,1,2,126,0,9,4,42.035829,60,129900,535354070
653,2,5,15,0,0,3,1,5,3,972,0,1,4,972,1,0,4,5,1,2,4,3,1,2,0,0,9,4,42.034746,62,132000,535354100
655,5,5,20,1,0,3,1,1,3,660,0,1,4,1656,2,1,4,8,0,3,4,3,1,0,0,0,9,4,42.037679,94,135000,535375050
656,13,5,20,1,0,3,0,5,3,676,0,1,4,1352,2,0,2,7,0,3,4,3,2,2,187,0,9,4,42.037144,71,149000,535376060
657,12,5,20,2,0,2,0,1,3,405,2,1,4,1039,1,0,4,6,0,3,4,3,1,0,0,0,9,4,42.037328,110,114000,535377150
658,1,5,20,1,0,2,0,5,3,768,0,1,4,861,1,0,2,5,0,3,4,3,1,0,316,0,9,4,42.036015,86,109500,535378020
662,1,5,20,6,0,1,2,1,3,416,2,0,0,861,1,0,2,4,0,3,6,1,0,0,0,81,9,4,42.0347572,70,87000,535383060
663,5,5,20,2,0,1,2,5,3,840,0,1,4,1374,1,0,4,6,0,3,4,0,1,2,0,0,9,4,42.0347398,90,105000,535383070
665,1,5,20,4,0,3,0,5,3,630,4,1,0,861,1,1,4,4,0,3,4,3,1,2,0,30,9,4,42.03528,120,87000,535383120
666,0,5,15,0,480,3,1,5,3,1248,4,1,4,2480,2,2,4,12,0,3,0,2,3,2,0,0,9,4,42.0417879,41,190000,535402010
667,2,5,15,0,295,3,1,5,3,1380,1,1,4,1380,1,1,4,6,0,3,0,3,1,2,0,0,9,4,42.04015,47,154000,535402090
668,2,5,15,0,0,1,1,5,3,1040,2,1,4,1040,1,0,4,6,1,4,0,2,2,2,0,0,9,4,42.040295,43,163000,535402270
671,2,5,15,0,143,3,1,5,3,1105,2,1,0,1105,1,0,4,5,0,3,4,3,1,2,0,0,9,4,42.038349,53,135000,535403210
672,2,5,15,1,0,3,1,5,2,992,4,1,4,1306,1,0,4,5,0,3,4,3,1,2,0,0,9,4,42.039047,53,153000,535403280
673,2,5,15,0,30,3,1,5,3,1478,0,1,0,1478,2,0,4,6,2,2,0,3,2,2,0,40,9,4,42.040766,50,157500,535425070
675,4,5,15,1,0,2,1,5,3,832,2,1,4,1268,1,0,4,6,1,2,0,3,1,2,0,28,9,4,42.037129,61,133000,535450070
676,0,5,15,4,0,3,3,3,4,0,1,0,0,1040,2,0,4,6,0,3,4,3,2,2,0,0,9,4,42.035712,60,92900,535450160
678,0,5,15,2,0,3,3,3,4,0,1,0,1,1040,2,0,4,6,0,3,4,3,2,2,0,0,9,4,42.035841,61,90000,535451170
679,5,5,15,1,0,3,1,5,3,1208,2,1,0,1904,1,1,4,7,0,3,0,3,1,2,0,0,9,4,42.037233,60,138000,535451250
680,2,5,15,1,0,3,1,5,3,1041,2,1,4,1041,1,0,4,6,0,3,0,2,1,2,0,0,9,4,42.03602,52,128000,535452090
681,2,5,15,1,0,3,1,5,3,1029,4,1,4,1339,1,0,4,6,0,3,0,3,1,2,0,0,0,0,42.035968,52,139000,535452100
682,2,5,15,1,0,3,1,5,3,732,4,1,4,861,1,0,4,4,0,3,4,3,1,2,0,68,9,4,42.03572,58,118900,535452140
684,2,5,15,1,0,3,1,5,3,1148,4,1,4,1148,1,0,4,6,0,3,0,3,1,2,0,0,9,4,42.037214,51,132500,535453200
686,5,5,15,0,0,3,1,5,3,864,4,1,4,1495,1,0,4,6,0,3,4,3,2,2,180,36,0,0,42.034858,62,135000,535454160
687,13,5,15,0,420,3,1,5,3,780,4,1,4,1806,1,1,4,8,0,3,0,3,2,2,0,55,9,4,42.037049,46,144750,535475010
688,0,5,15,1,124,3,1,2,0,941,2,1,4,941,1,0,2,4,0,3,0,3,2,2,0,40,9,4,42.038948,32,145000,535476110
689,2,5,15,0,0,3,1,5,3,1045,4,1,4,1045,1,0,4,6,1,1,0,2,1,2,0,0,9,4,42.038257,47,127000,535476240
690,2,5,15,1,0,3,1,5,3,894,2,0,4,894,1,0,4,5,0,3,4,3,1,2,0,0,9,4,42.035287,48,109500,535477150
691,5,6,20,0,0,3,1,5,3,818,4,1,4,1224,1,0,4,5,0,3,4,3,1,0,0,0,9,4,42.0342224,84,115000,902101010
692,5,6,20,1,0,3,2,5,3,440,2,1,4,1230,1,1,4,5,0,3,4,3,2,2,74,0,9,4,42.033273,100,110000,902102080
693,5,6,20,0,0,3,2,5,3,901,2,1,4,1378,1,0,2,6,0,3,4,3,1,1,54,0,9,4,42.0320748,75,128900,902103100
696,5,6,20,1,0,3,1,5,3,240,4,1,4,1306,1,1,2,6,0,3,4,3,2,0,0,0,9,4,42.032202,100,130000,902105050
697,12,6,20,1,0,2,1,5,3,504,0,1,4,1464,2,0,4,7,0,3,6,1,0,0,0,0,9,4,42.032108,100,129000,902105060
699,12,6,20,1,0,3,4,5,3,994,4,0,4,2372,2,0,4,11,0,3,0,2,1,2,0,287,9,4,42.031305,118,107500,902106060
700,11,6,20,2,0,1,0,1,3,600,2,0,4,1701,2,0,1,8,0,3,6,1,0,0,0,0,9,4,42.0304742,90,94550,902109130
701,0,6,20,1,360,3,1,5,3,960,2,1,4,1960,2,0,4,10,0,3,4,3,2,0,0,0,0,4,42.030327,58,124500,902109140
702,13,6,20,5,0,3,1,5,3,651,2,1,4,1389,1,1,4,6,2,2,4,3,1,1,0,0,9,4,42.0303538,64,135000,902110080
703,5,6,20,1,0,3,0,1,3,801,2,0,4,1447,1,0,4,6,0,3,6,1,0,0,80,0,9,4,42.030282,100,103000,902134120
704,2,6,20,2,0,1,1,1,3,936,4,0,4,936,1,0,4,4,0,3,4,3,2,2,0,32,9,4,42.0310603,57,93000,902135020
705,5,6,20,1,0,3,1,5,3,768,4,1,0,1328,1,1,4,6,0,3,4,3,1,2,0,12,9,4,42.033381,60,129500,902201110
706,11,6,20,1,0,3,1,5,3,811,4,1,0,1387,2,0,2,7,0,3,2,3,1,2,0,0,9,4,42.033579,56,93000,902202150
707,1,6,20,2,0,3,0,1,3,861,4,1,4,861,1,0,4,5,0,3,4,3,2,0,0,0,7,4,42.032048,90,87000,902204080
709,5,6,20,4,0,3,0,5,3,600,1,0,4,968,1,0,4,6,0,3,6,1,0,2,0,0,9,0,42.032227,100,87000,902205030
710,1,6,20,1,0,3,0,1,3,190,2,1,0,886,1,0,4,4,0,3,0,3,1,2,144,20,9,4,42.030523,72,91300,902206260
711,1,6,20,1,0,2,2,1,3,624,4,1,4,861,1,0,4,5,0,3,4,3,1,2,0,0,9,4,42.030196,87,99500,902207170
713,12,6,20,2,0,2,0,1,3,677,4,1,4,1510,2,0,2,7,0,3,4,3,2,0,0,0,9,4,42.029007,100,87500,902301060
714,5,6,20,1,0,3,1,5,3,720,4,1,4,1284,1,1,4,5,0,3,4,3,1,2,0,35,9,4,42.0290352,63,110000,902301080
715,15,6,20,1,0,3,2,5,3,849,4,0,0,2138,2,0,4,11,0,3,4,3,2,0,40,156,9,4,42.028957,112,106000,902325070
716,12,6,20,5,0,2,4,5,3,1240,4,0,4,2480,1,1,2,8,1,2,4,3,4,0,181,0,9,4,42.029305,130,265979,902326030
717,12,6,20,0,0,3,0,1,2,917,2,1,0,2007,2,0,0,8,0,3,4,3,1,2,0,235,9,4,42.029001,110,160000,902327070
719,12,6,20,8,0,2,0,5,3,916,2,1,4,1742,1,1,2,8,1,2,0,3,2,1,0,169,9,4,42.028104,128,168000,902330040
721,12,6,20,5,0,3,2,5,3,650,0,1,4,1482,1,0,4,7,0,3,4,3,2,2,0,0,9,4,42.028556,90,143000,902401130
722,1,6,20,1,0,3,0,5,3,1022,4,0,4,1022,1,0,4,4,0,3,4,3,1,2,0,30,9,4,42.0282044,100,87000,902402150
723,5,6,20,1,0,3,0,5,3,1088,4,1,4,1869,1,0,4,7,0,3,4,3,2,2,48,0,9,4,42.027062,120,124900,902405100
724,5,6,20,0,0,1,0,5,3,972,0,1,4,1480,1,0,4,6,0,3,4,3,1,2,0,0,4,3,42.0272,90,119000,902405120
726,1,1,11,2,0,3,1,5,3,720,4,0,0,861,1,0,4,4,0,3,6,1,0,0,0,523,9,0,42.023218,90,87000,902477120
727,1,1,11,4,0,3,1,1,3,245,4,0,4,861,1,0,4,5,0,3,6,1,0,0,0,36,9,0,42.023222,110,87000,902477130
729,1,5,3,0,0,3,0,5,3,1022,4,0,0,1432,1,0,2,6,1,2,2,3,1,2,266,61,9,4,42.033558,87,149000,903201020
730,5,5,3,5,0,2,0,5,3,952,2,0,4,1548,2,1,0,5,0,3,4,3,2,2,74,0,9,4,42.0333765,85,205000,903201080
732,1,5,3,0,0,3,0,5,3,952,1,0,1,952,1,0,1,4,1,2,4,3,1,1,0,98,9,4,42.031542,94,121000,903205040
733,5,6,3,2,0,3,0,5,3,672,4,1,4,1324,1,0,4,6,0,3,4,3,1,2,0,0,9,4,42.033406,74,128000,903226130
735,5,6,3,1,0,3,0,5,3,884,0,1,4,1348,1,0,4,5,1,1,4,3,1,0,0,0,9,4,42.03329,85,117000,903227070
736,5,6,3,0,0,3,1,5,3,780,0,1,1,1412,1,0,4,6,1,2,4,3,1,2,45,0,9,4,42.033347,71,132500,903227090
741,5,6,3,2,0,3,0,5,3,884,0,1,4,1573,1,0,2,6,0,3,4,3,1,2,0,0,9,4,42.03246,75,133000,903231030
742,1,6,3,6,0,1,0,5,3,264,1,0,0,861,1,0,1,4,1,4,6,1,0,0,0,0,5,4,42.032359,74,87000,903231060
743,1,6,3,1,0,3,0,5,3,715,4,1,0,875,1,0,4,5,0,3,4,3,1,2,48,0,9,4,42.031292,79,105000,903231130
746,1,6,3,1,0,3,0,5,3,1072,4,1,4,1072,1,0,4,5,0,3,4,3,5,1,0,0,9,4,42.0310861,85,126500,903236040
747,15,5,3,0,0,3,0,5,3,844,2,0,0,2134,2,0,2,10,0,3,4,3,2,2,0,60,9,4,42.030062,94,214500,903400220
748,12,5,3,5,0,3,0,2,3,728,4,0,4,2019,1,0,2,8,0,3,4,3,2,2,509,135,9,4,42.026759,100,167500,903425245
749,12,6,20,0,0,3,2,5,3,1048,2,1,0,1768,2,0,4,8,0,3,4,3,2,2,0,0,9,4,42.028948,95,155000,903427120
750,12,6,20,5,0,2,2,5,3,910,0,1,4,1826,1,1,0,7,1,2,0,3,1,2,0,0,9,4,42.027854,95,155000,903429080
751,12,6,20,5,0,3,0,5,3,672,1,1,4,1944,2,0,4,8,0,3,4,3,1,0,24,28,9,4,42.027998,95,179900,903429110
752,15,6,20,0,0,3,1,5,3,755,0,1,4,2229,1,0,4,8,0,3,6,1,0,2,0,198,9,0,42.027039,98,104000,903430060
753,0,6,20,1,0,3,0,5,3,1040,4,0,4,2128,2,0,4,11,0,3,6,1,0,2,0,56,9,0,42.026956,88,87000,903430070
754,12,6,11,0,0,3,1,5,3,720,1,1,4,1930,2,0,4,8,0,3,0,3,1,2,0,0,9,4,42.025306,83,149000,903451090
755,1,6,11,2,0,3,1,5,3,780,4,1,0,1208,1,0,4,5,0,3,4,3,2,2,0,23,9,4,42.023085,85,103000,903458170
756,12,6,20,0,0,3,0,5,3,483,0,1,4,1427,1,0,2,7,0,3,0,3,1,2,0,24,9,4,42.025796,95,123000,903475100
757,11,6,20,5,188,3,0,5,3,1020,4,0,1,1864,2,1,4,9,0,3,6,1,0,0,0,188,9,4,42.0260296,108,97500,903476090
761,2,5,21,2,0,3,1,1,3,560,0,1,0,861,1,0,1,4,0,3,3,3,1,2,0,0,9,4,42.032681,64,88750,904100190
762,0,5,7,1,0,3,1,2,1,1200,4,1,4,1200,3,0,4,5,0,3,6,1,0,2,120,0,9,2,42.028101,23,179000,904301060
763,0,5,7,1,0,3,1,2,1,1200,4,1,4,1200,3,0,4,5,0,3,6,1,0,2,120,0,9,2,42.028098,23,179000,904301070
764,0,5,7,1,0,3,2,2,1,1152,4,1,4,1152,2,0,4,6,0,3,4,3,1,0,0,0,9,4,42.028049,32,159900,904301100
765,1,5,7,9,0,1,0,1,1,683,2,0,0,904,0,1,1,4,0,3,6,1,0,2,0,0,9,4,42.0269586,88,87000,904301375
766,12,4,7,0,0,3,0,5,3,672,4,0,4,1369,2,0,4,6,0,3,4,3,1,2,147,0,9,4,42.022825,85,103600,904351200
769,2,5,21,1,0,3,2,5,3,1121,4,1,4,1121,1,0,4,5,0,3,4,3,2,2,0,80,9,4,42.033633,47,139000,905101490
770,13,5,21,0,92,3,1,5,3,918,2,1,4,1683,2,1,4,7,1,5,0,2,2,2,243,0,9,4,42.032367,32,172500,905103040
771,2,5,21,1,172,3,1,5,3,1052,4,1,4,1052,1,1,4,6,1,4,0,0,1,2,0,215,9,0,42.032388,43,113500,905103070
772,2,5,21,1,89,3,2,5,3,864,0,1,4,899,1,0,2,5,0,3,0,0,1,2,64,0,9,4,42.029863,43,130000,905105190
775,9,5,21,1,0,3,1,5,0,840,4,1,4,861,1,0,4,4,0,3,4,3,2,2,0,0,9,4,42.031138,28,137000,905108220
780,2,5,21,6,0,3,3,3,4,0,1,0,4,861,1,0,1,5,0,3,6,1,0,0,0,0,9,4,42.032564,63,87000,905228050
781,5,5,4,2,0,3,1,5,0,1104,0,1,0,1788,1,0,4,8,2,5,0,3,1,2,120,0,9,4,42.032503,53,161500,905229040
784,1,5,7,2,0,3,1,5,3,861,0,1,4,861,1,0,4,4,0,3,4,3,2,2,158,0,9,4,42.0240278,70,87000,905377130
786,2,5,7,4,0,3,3,3,4,0,0,1,0,1733,2,0,4,8,1,2,0,3,2,2,0,0,9,4,42.027656,55,139600,905402060
792,1,5,7,2,0,3,1,5,3,672,4,1,4,861,1,0,4,4,0,3,0,3,1,0,0,113,9,4,42.025996,69,113000,905452050
796,5,5,7,1,0,3,1,5,3,768,2,1,4,1716,1,1,4,8,1,2,0,3,1,2,0,0,9,4,42.0247212,61,131000,905478030
799,10,5,22,5,0,2,2,2,3,1054,2,1,4,1061,1,1,2,4,0,3,0,3,2,2,114,36,9,4,42.034183,20,162000,906201021
800,10,5,22,0,100,2,1,2,0,520,2,1,4,1338,1,1,2,5,1,4,0,3,2,2,0,0,9,4,42.033714,27,156500,906201050
801,5,5,22,8,0,2,1,2,1,1496,0,1,4,2132,1,1,2,5,1,2,2,0,2,2,349,40,9,4,42.0318449,27,316600,906201130
802,2,5,22,5,234,2,1,2,2,2158,2,1,4,2196,2,0,2,7,1,5,0,2,3,2,84,70,9,4,42.03254,20,271900,906203120
803,13,5,22,5,137,2,2,2,3,740,0,1,4,1775,2,1,2,7,1,5,0,3,2,2,234,72,9,4,42.030625,17,213000,906223060
805,13,5,22,8,0,2,2,2,3,1128,0,1,4,2020,2,1,2,8,1,5,0,2,2,2,0,155,9,4,42.030678,15,239500,906223210
806,12,5,22,1,0,2,2,3,4,0,0,1,4,2016,1,0,4,7,1,5,0,3,2,1,0,0,9,4,42.03252,130,131000,906226060
807,0,5,22,1,0,3,3,3,4,0,4,1,4,1535,2,0,4,8,0,3,0,3,2,2,0,0,9,2,42.031622,31,118964,906226070
808,0,5,22,1,275,3,1,2,0,1086,4,1,4,1224,0,2,4,6,2,5,4,3,2,2,120,0,9,2,42.031834,31,153337,906226080
810,0,5,22,1,0,3,3,3,4,0,4,1,4,1535,2,0,4,8,0,3,0,3,2,2,0,0,9,2,42.031545,31,118858,906226100
811,0,5,22,1,0,3,3,3,4,0,4,1,4,1535,2,0,4,8,0,3,0,3,2,2,0,0,9,2,42.0314669,31,118858,906226110
812,0,5,22,1,0,3,3,3,4,0,4,1,4,2240,2,0,4,12,0,3,4,3,2,2,154,0,9,2,42.0314606,31,142953,906226120
813,0,5,22,1,216,3,1,2,0,1094,4,1,4,1229,0,2,2,6,2,5,4,3,2,2,120,0,9,2,42.0312822,31,148325,906226130
814,0,5,22,1,0,3,3,3,4,0,4,1,4,1513,2,0,4,8,0,3,0,3,2,2,0,0,9,2,42.03057,31,113722,906226140
816,0,5,22,5,23,3,2,0,3,1168,0,1,4,2480,4,2,4,8,2,5,2,0,4,2,312,0,9,4,42.0310946,10,269500,906230020
817,0,5,22,5,23,3,2,0,3,1168,0,1,4,2480,4,2,4,8,2,5,2,0,4,2,312,0,9,4,42.0309301,10,269500,906230030
820,2,5,5,8,270,2,2,0,1,1622,0,1,4,1630,2,0,0,8,1,2,0,2,3,2,172,42,9,4,42.026414,2,295493,906340120
821,2,5,5,3,364,0,2,0,1,1720,0,1,4,1720,2,0,0,8,1,2,0,2,3,2,208,104,9,4,42.026372,2,332000,906340130
823,13,5,5,8,0,2,2,2,0,866,0,1,4,1768,2,1,2,7,0,3,0,2,2,2,144,105,9,4,42.025293,3,212000,906380050
824,2,5,5,8,352,2,2,0,0,1838,0,1,4,1838,2,0,2,7,2,2,0,2,2,2,154,222,9,4,42.025577,3,272500,906380060
826,2,5,5,5,180,2,2,2,3,1604,0,1,4,1604,2,1,2,8,1,2,0,2,2,2,123,110,9,0,42.024596,4,220000,906380130
827,2,5,5,5,0,2,2,2,0,1282,0,1,4,1290,2,0,2,6,1,2,0,2,2,2,168,0,9,4,42.024613,3,200000,906380210
828,2,5,5,8,140,2,2,2,0,1254,0,1,4,1254,2,0,2,5,0,3,0,2,3,2,168,92,9,4,42.024765,2,221800,906380220
829,2,5,5,5,82,2,2,2,0,1232,0,1,4,1232,2,0,2,6,0,3,0,2,2,2,132,0,9,4,42.024327,3,194500,906392070
834,13,5,4,1,0,3,2,5,1,1013,4,1,4,2126,2,1,4,7,0,3,0,0,2,2,486,0,9,0,42.0255464,43,185000,906475070
835,2,5,5,1,0,3,2,2,3,1040,2,1,4,1040,1,0,2,6,0,3,4,3,2,2,168,0,9,4,42.021171,14,152000,907126010
836,2,5,5,1,0,3,2,5,3,990,0,1,4,990,1,0,4,5,0,3,0,2,1,2,66,0,9,4,42.021176,16,143000,907126050
837,13,5,5,0,0,3,2,2,3,928,0,1,4,1764,2,1,2,7,0,3,0,2,2,2,276,99,9,4,42.021207,13,231500,907130100
838,13,5,5,5,0,2,2,2,0,799,0,1,4,1661,2,1,2,6,1,5,0,2,2,2,158,61,5,4,42.020817,14,212000,907131090
839,2,5,5,5,0,3,2,2,2,1463,0,1,4,1463,2,0,4,5,0,3,0,0,2,2,0,81,9,4,42.019784,12,207000,907131190
841,2,5,5,1,0,3,2,2,3,990,0,1,4,990,1,0,4,5,0,3,4,3,2,2,0,64,9,4,42.0197228,16,138000,907135170
843,2,5,5,5,183,2,2,2,1,1490,0,1,4,1501,2,0,2,6,0,3,0,2,2,2,144,29,9,4,42.017569,11,204000,907180130
845,13,5,5,0,120,3,2,2,3,928,0,1,4,1772,2,1,4,7,1,5,0,2,2,2,150,96,9,4,42.018667,12,200000,907185050
848,13,5,5,5,0,2,2,2,3,944,0,1,4,1840,2,1,2,6,0,3,0,2,2,2,0,45,9,4,42.01571,9,230000,907194010
849,2,5,5,5,0,2,2,2,3,1413,0,1,4,1430,2,0,2,6,0,3,0,2,2,2,0,33,9,4,42.016551,9,187100,907194110
850,2,5,5,5,68,2,2,2,3,1431,0,1,4,1444,2,0,2,6,0,3,0,2,2,2,144,40,9,4,42.01613,8,203000,907194160
851,2,5,5,5,180,2,2,2,2,1492,0,1,4,1492,2,0,2,6,1,5,0,2,2,2,0,114,9,3,42.015713,9,201000,907196060
853,2,5,5,1,76,3,0,2,0,907,4,1,4,907,1,0,4,5,0,3,0,3,1,2,72,0,9,4,42.020087,32,140000,907201220
854,2,5,5,1,40,3,1,5,3,914,4,1,4,914,1,0,4,5,0,3,0,3,2,2,0,0,9,4,42.019184,31,134900,907201280
855,2,5,5,1,0,3,1,2,2,1040,4,1,4,1040,2,0,2,5,0,3,4,3,2,2,0,0,9,4,42.019697,33,150500,907202050
857,2,5,5,1,0,3,1,2,0,1268,4,1,4,1268,1,1,2,5,0,3,4,3,1,2,173,0,9,4,42.019691,33,143500,907202130
858,2,5,5,1,0,3,1,5,0,864,0,1,4,864,1,0,4,5,1,1,0,3,1,2,0,0,9,4,42.020666,38,133500,907227030
859,2,5,5,1,0,3,1,5,0,894,4,1,4,894,1,0,4,6,0,3,4,2,2,2,215,0,9,4,42.020991,38,123000,907227080
860,9,5,5,1,0,3,1,2,0,768,2,1,4,861,1,0,4,5,0,3,4,0,1,2,192,0,9,4,42.021788,38,133900,907227110
861,9,5,5,1,0,3,1,2,0,768,4,1,4,861,1,0,4,5,0,3,4,3,2,2,58,0,9,4,42.020843,38,133000,907227290
862,2,5,5,5,0,2,2,2,0,1569,0,1,4,1611,2,0,2,6,0,3,0,2,3,2,262,93,9,4,42.017109,8,250000,907250070
863,13,5,5,8,198,2,2,2,0,1068,0,1,4,2184,2,1,2,8,1,2,2,2,2,2,192,132,9,4,42.018722,7,254750,907252060
864,2,5,5,8,0,2,2,2,0,1753,0,1,4,1788,2,0,0,7,1,5,0,2,2,2,202,151,9,4,42.018847,9,236500,907252210
865,13,5,5,8,108,2,2,2,0,1299,0,1,4,1872,2,1,0,7,1,5,2,2,2,2,160,122,9,4,42.01877,9,261500,907252220
867,13,5,5,5,0,2,2,2,3,840,0,1,4,1725,2,1,2,6,0,3,0,2,2,2,0,48,9,4,42.016973,8,198500,907260030
868,13,5,5,5,0,2,2,2,3,944,0,1,4,1870,2,1,2,6,0,3,0,2,2,2,256,43,9,4,42.016978,9,211000,907265010
869,2,5,5,8,260,2,2,2,1,1462,0,1,4,1513,2,0,2,5,1,5,0,0,2,2,135,34,9,4,42.0181479,11,220000,907275010
870,2,5,5,5,196,2,2,2,1,1504,0,1,4,1504,2,0,2,6,1,5,0,0,2,2,115,66,9,4,42.018875,14,203000,907275090
872,2,5,5,5,209,2,2,2,0,1417,0,1,4,1417,2,0,2,7,1,5,0,3,2,2,60,0,9,4,42.018006,13,210000,907280170
873,13,5,5,5,573,3,2,2,3,1057,0,1,4,2034,2,1,2,8,0,3,0,2,2,2,576,36,9,4,42.017856,13,219500,907285020
875,2,5,5,5,0,2,2,2,3,1212,0,1,4,1212,2,0,2,6,0,3,0,2,2,2,356,0,9,4,42.016819,9,178000,907290070
876,2,5,5,5,171,2,2,2,3,1630,0,1,4,1630,2,0,2,6,1,5,0,3,2,2,74,234,9,4,42.016797,10,213000,907290090
878,3,6,5,0,170,2,2,2,0,848,0,1,4,861,1,0,2,4,0,3,0,0,2,2,140,0,9,4,42.016271,7,140000,907290210
879,2,5,5,8,180,2,2,2,0,1578,0,1,4,1602,2,0,2,7,1,2,0,2,3,2,0,48,9,4,42.016468,3,293200,907410130
880,13,5,5,5,0,2,2,2,3,864,0,1,4,1728,2,1,2,7,0,3,0,2,2,2,187,56,9,4,42.013957,6,190000,907412020
881,2,5,5,5,210,2,2,2,0,1500,0,1,4,1500,2,0,2,6,0,3,0,2,2,2,192,36,9,4,42.014054,6,190000,907414020
882,13,5,5,0,0,2,2,2,3,738,0,1,4,1476,2,1,2,7,0,3,0,0,2,2,100,35,9,4,42.013512,5,173500,907414080
883,13,5,5,0,0,2,2,2,3,608,0,1,4,1396,2,1,2,6,1,2,2,0,2,2,100,36,9,4,42.013392,3,170000,907420040
886,2,5,7,2,0,3,1,5,2,816,0,1,4,861,1,0,4,3,1,2,4,3,1,2,0,0,9,4,42.021219,72,100000,908102290
888,13,5,7,0,140,3,1,5,3,690,4,1,4,1426,1,1,4,6,0,3,0,0,2,2,252,0,9,4,42.0186549,33,159500,908151050
889,2,5,7,2,0,3,1,5,3,1014,4,1,4,1149,1,0,4,7,0,3,5,0,1,2,0,240,9,4,42.0196717,50,127000,908152035
891,2,5,7,3,340,0,2,0,3,1698,0,1,4,1698,2,0,0,8,1,2,0,0,3,2,327,64,9,4,42.017026,3,320000,908154040
892,8,6,7,0,80,3,5,2,1,547,2,1,4,1072,1,0,4,5,0,3,1,0,2,2,0,28,9,4,42.01896,5,145500,908186080
893,2,5,7,1,0,3,1,5,3,698,0,1,4,861,1,0,4,4,0,3,6,1,0,2,0,200,9,4,42.022478,63,118000,908201040
894,2,5,7,2,0,3,1,5,3,876,4,1,0,876,1,0,4,5,0,3,4,3,1,2,0,0,9,4,42.019423,51,87000,908203090
895,2,5,7,1,0,3,1,1,2,1078,4,1,0,1368,1,0,4,6,0,3,0,2,1,2,0,41,9,4,42.020321,60,120000,908225290
896,5,5,7,2,0,3,3,3,4,0,4,0,1,1529,2,0,4,9,0,3,4,3,1,0,92,0,9,4,42.0217997,65,98000,908225370
897,1,5,7,1,0,3,2,1,3,864,0,1,4,864,1,0,4,4,0,3,6,1,0,2,0,96,9,4,42.021496,88,99900,908229020
898,2,5,7,4,0,3,3,3,4,0,1,0,1,944,1,0,1,4,0,3,4,3,2,2,0,0,9,4,42.019004,58,87000,908250030
899,0,5,7,1,74,3,1,5,3,1678,4,1,4,1678,2,0,4,10,0,3,6,1,0,2,0,0,9,4,42.01822,51,119900,908275040
900,2,5,7,1,259,3,1,5,3,1150,0,1,4,1560,1,0,4,7,1,5,0,3,1,2,0,0,9,4,42.019381,54,103500,908275110
901,2,5,7,2,0,3,1,5,3,672,0,1,0,960,1,0,4,5,0,3,1,3,1,2,64,0,0,0,42.018592,54,112000,908276150
903,5,5,7,1,0,3,1,5,3,720,0,1,4,1298,1,0,4,6,2,2,4,3,1,2,84,0,9,4,42.022088,69,122000,909101100
904,5,5,7,1,0,3,1,5,3,984,0,1,4,1604,2,0,4,6,0,3,4,3,2,2,0,68,9,4,42.022091,69,117000,909101140
905,5,4,24,1,88,3,2,5,3,832,4,1,4,1268,1,1,4,7,2,2,1,3,1,2,0,0,9,0,42.020123,72,160000,909129090
906,5,4,24,1,0,3,0,5,3,793,0,1,4,1520,1,0,4,6,0,3,4,3,1,2,0,0,9,0,42.019713,78,159434,909129100
907,1,5,24,6,0,3,1,5,3,290,4,0,1,861,1,0,1,3,0,3,4,3,1,0,0,0,9,4,42.017564,90,87000,909175080
909,15,5,24,5,0,3,0,5,3,824,0,1,4,2480,2,1,4,12,2,5,1,0,2,2,136,63,9,4,42.016182,90,197000,909179020
911,5,5,24,2,0,3,0,5,3,1122,4,1,4,1981,2,0,2,7,2,5,4,3,2,2,431,44,9,4,42.018931,82,135000,909250220
912,1,5,6,0,0,2,0,5,3,816,0,1,4,1232,1,0,2,6,1,2,4,3,2,2,0,0,9,4,42.017889,94,147500,909251050
913,5,5,24,0,0,3,0,5,3,976,0,1,4,1608,2,1,2,7,1,2,4,3,1,2,147,16,9,4,42.017835,85,137450,909251170
914,12,5,24,5,0,2,2,2,3,560,0,1,4,1135,1,0,2,6,0,3,4,2,2,2,256,0,9,4,42.0189256,74,155000,909252020
915,5,5,6,0,0,3,0,5,3,896,2,1,4,1913,1,1,4,9,1,5,4,3,2,2,0,0,9,4,42.016943,82,177000,909253010
919,5,5,6,1,0,3,1,5,3,840,0,1,4,1567,1,1,4,6,2,5,4,3,2,2,0,21,9,4,42.0191252,70,205000,909275080
921,5,5,6,1,0,2,0,5,3,728,0,1,4,1308,1,1,4,7,2,5,4,3,1,2,0,70,9,4,42.018707,70,160000,909276200
922,2,5,6,1,0,3,1,5,3,1273,0,1,4,1273,1,0,4,5,0,3,0,3,1,2,483,0,9,4,42.017583,50,155000,909277090
923,1,5,6,1,0,3,0,2,3,876,0,1,4,964,1,0,4,5,0,3,4,3,2,2,0,0,9,4,42.017574,89,163500,909277100
