,PID,MS_SubClass,MS_Zoning,Lot_Frontage,Lot_Area,Street,Alley,Lot_Shape,Land_Contour,Utilities,Lot_Config,Land_Slope,Neighborhood,Condition_1,Condition_2,Bldg_Type,House_Style,Overall_Qual,Overall_Cond,Year_Built,Year_Remod_Add,Roof_Style,Roof_Matl,Exterior_1st,Exterior_2nd,Mas_Vnr_Type,Mas_Vnr_Area,Exter_Qual,Exter_Cond,Foundation,Bsmt_Qual,Bsmt_Cond,Bsmt_Exposure,BsmtFin_Type_1,BsmtFin_SF_1,BsmtFin_Type_2,BsmtFin_SF_2,Bsmt_Unf_SF,Total_Bsmt_SF,Heating,Heating_QC,Central_Air,Electrical,First_Flr_SF,Second_Flr_SF,Low_Qual_Fin_SF,Gr_Liv_Area,Bsmt_Full_Bath,Bsmt_Half_Bath,Full_Bath,Half_Bath,Bedroom_AbvGr,Kitchen_AbvGr,Kitchen_Qual,TotRms_AbvGrd,Functional,Fireplaces,Fireplace_Qu,Garage_Type,Garage_Yr_Blt,Garage_Finish,Garage_Cars,Garage_Area,Garage_Qual,Garage_Cond,Paved_Drive,Wood_Deck_SF,Open_Porch_SF,Enclosed_Porch,Three_season_porch,Screen_Porch,Pool_Area,Pool_QC,Fence,Misc_Feature,Misc_Val,Mo_Sold,Year_Sold,Sale_Type,Sale_Condition,Longitude,Latitude,Sale_Price
618,534476150,One_Story_1946_and_Newer_All_Styles,Residential_Low_Density,80,9600,Pave,No_Alley_Access,Regular,Lvl,AllPub,Inside,Gtl,North_Ames,Norm,Norm,OneFam,One_Story,Above_Average,Average,1953,1953,Hip,CompShg,HdBoard,HdBoard,Stone,238,Typical,Typical,CBlock,Typical,Typical,No,GLQ,3,Unf,0,131,1416,GasA,Typical,Y,SBrkr,1644,0,0,1644,1,0,1,0,3,1,Typical,7,Typ,2,Good,Attchd,1953.0,Fin,2,418,Typical,Typical,Paved,110,0,0,0,0,0,No_Pool,No_Fence,None,0,10,2009,WD ,Normal,-93.623705,42.034741,167000
619,534476320,One_Story_1946_and_Newer_All_Styles,Residential_Low_Density,80,9600,Pave,No_Alley_Access,Regular,Lvl,AllPub,Inside,Gtl,North_Ames,Norm,Norm,OneFam,One_Story,Average,Above_Average,1956,1956,Hip,CompShg,MetalSd,MetalSd,None,0,Typical,Typical,CBlock,Typical,Typical,No,Rec,6,Unf,0,546,1050,GasA,Good,Y,SBrkr,1050,0,0,1050,0,0,1,0,2,1,Typical,5,Typ,0,No_Fireplace,Attchd,1956.0,Unf,1,338,Typical,Typical,Paved,0,0,0,0,0,0,No_Pool,No_Fence,None,0,6,2009,WD ,Normal,-93.624612,42.037452,128900
621,534478230,One_Story_1946_and_Newer_All_Styles,Residential_Low_Density,80,9600,Pave,No_Alley_Access,Regular,Lvl,AllPub,Inside,Gtl,North_Ames,Norm,Norm,OneFam,One_Story,Average,Good,1950,2007,Gable,CompShg,MetalSd,MetalSd,None,0,Good,Typical,CBlock,Typical,Typical,No,ALQ,1,Unf,0,506,1113,GasA,Good,Y,SBrkr,1113,0,0,1113,0,0,1,0,3,1,Good,5,Typ,1,Good,Attchd,1950.0,Unf,1,264,Typical,Typical,Paved,0,80,120,0,0,0,No_Pool,No_Fence,None,0,7,2009,WD ,Normal,-93.622494,42.036178,147000
622,535101120,Duplex_All_Styles_and_Ages,Residential_Low_Density,65,8944,Pave,No_Alley_Access,Regular,Lvl,AllPub,Inside,Gtl,North_Ames,Norm,Norm,Duplex,One_Story,Average,Average,1967,1967,Gable,CompShg,Plywood,Plywood,None,0,Typical,Typical,CBlock,Typical,Typical,No,Unf,7,Unf,0,1584,1584,GasA,Typical,Y,SBrkr,1584,0,0,1584,0,0,2,0,4,2,Typical,8,Mod,0,No_Fireplace,Detchd,1967.0,Unf,3,792,Typical,Typical,Paved,0,152,0,0,0,0,No_Pool,No_Fence,None,0,4,2009,WD ,Normal,-93.619673,42.049306,124000
623,535104120,One_Story_1946_and_Newer_All_Styles,Residential_Low_Density,92,10573,Pave,No_Alley_Access,Slightly_Irregular,Lvl,AllPub,Corner,Gtl,North_Ames,Norm,Norm,OneFam,One_Story,Above_Average,Above_Average,1961,1961,Hip,CompShg,MetalSd,MetalSd,BrkFace,3,Typical,Typical,CBlock,Typical,Typical,No,Rec,6,Unf,0,141,1453,GasA,Excellent,Y,SBrkr,1453,0,0,1453,1,0,2,0,3,1,Typical,6,Typ,1,Typical,Attchd,1961.0,RFn,2,530,Typical,Typical,Paved,0,49,0,0,288,0,No_Pool,Good_Privacy,None,0,4,2009,WD ,Normal,-93.617963,42.048294,187500
625,535125070,One_Story_1946_and_Newer_All_Styles,Residential_Low_Density,80,14695,Pave,No_Alley_Access,Slightly_Irregular,Lvl,AllPub,Inside,Gtl,North_Ames,Norm,Norm,OneFam,One_Story,Above_Average,Very_Good,1966,2008,Gable,CompShg,MetalSd,MetalSd,BrkFace,210,Typical,Good,CBlock,Typical,Typical,No,ALQ,1,Unf,0,175,1562,GasA,Good,Y,SBrkr,1567,0,0,1567,1,0,2,0,2,1,Good,5,Typ,2,Good,Attchd,1966.0,Unf,2,542,Typical,Typical,Paved,0,110,0,0,342,0,No_Pool,Good_Wood,None,0,7,2009,WD ,Normal,-93.615602,42.048608,256000
626,535125090,Two_Story_1946_and_Newer,Residential_Low_Density,85,13600,Pave,No_Alley_Access,Regular,Lvl,AllPub,Inside,Gtl,North_Ames,Norm,Norm,OneFam,Two_Story,Good,Above_Average,1965,1990,Gable,CompShg,HdBoard,HdBoard,BrkFace,176,Typical,Typical,CBlock,Typical,Typical,No,BLQ,2,Unf,0,314,768,GasA,Typical,Y,SBrkr,1186,800,0,1986,0,0,2,1,3,1,Typical,7,Typ,3,Fair,Attchd,1965.0,Unf,2,486,Typical,Typical,Paved,0,42,0,0,189,0,No_Pool,No_Fence,None,0,10,2009,WD ,Normal,-93.615558,42.048724,205000
628,535126100,One_Story_1946_and_Newer_All_Styles,Residential_Low_Density,120,13560,Pave,No_Alley_Access,Regular,Lvl,AllPub,Corner,Gtl,North_Ames,Norm,Norm,OneFam,One_Story,Above_Average,Fair,1968,1968,Hip,CompShg,Wd Sdng,Wd Sdng,BrkFace,216,Typical,Typical,CBlock,Fair,Fair,No,Unf,7,Unf,0,1392,1392,GasA,Good,Y,SBrkr,1392,0,0,1392,1,0,1,0,2,1,Typical,5,Maj2,2,Typical,Attchd,1968.0,RFn,2,576,Typical,Typical,Paved,0,0,240,0,0,0,No_Pool,No_Fence,None,0,7,2009,WD ,Normal,-93.614216,42.04579,110000
629,535150070,One_and_Half_Story_Finished_All_Ages,Residential_Low_Density,0,12513,Pave,No_Alley_Access,Slightly_Irregular,Lvl,AllPub,FR2,Gtl,North_Ames,Feedr,Norm,OneFam,One_and_Half_Fin,Below_Average,Below_Average,1920,2007,Gable,CompShg,VinylSd,VinylSd,None,0,Typical,Good,BrkTil,Typical,Fair,No,Unf,7,Unf,0,715,715,GasA,Good,Y,SBrkr,1281,457,0,1738,0,0,2,0,4,1,Typical,7,Typ,1,Good,Attchd,1920.0,Unf,1,368,Typical,Typical,Paved,55,0,0,0,0,0,No_Pool,No_Fence,None,0,6,2009,WD ,Normal,-93.619029,42.044886,104900
630,535151040,One_Story_1946_and_Newer_All_Styles,Residential_Low_Density,73,8760,Pave,No_Alley_Access,Regular,Lvl,AllPub,Inside,Gtl,North_Ames,Norm,Norm,OneFam,One_Story,Average,Good,1956,1956,Gable,CompShg,Wd Sdng,Wd Sdng,BrkFace,164,Good,Typical,CBlock,Typical,Typical,No,ALQ,1,Unf,0,313,1169,GasA,Typical,Y,SBrkr,1144,0,0,1144,1,0,1,0,3,1,Typical,6,Typ,0,No_Fireplace,Attchd,1956.0,RFn,1,286,Typical,Typical,Paved,257,0,0,0,0,0,No_Pool,No_Fence,None,0,6,2009,WD ,Normal,-93.618784,42.043966,150000
631,535152230,One_Story_1946_and_Newer_All_Styles,Residential_Low_Density,70,8400,Pave,No_Alley_Access,Regular,Lvl,AllPub,Inside,Gtl,North_Ames,Norm,Norm,OneFam,One_Story,Above_Average,Fair,1957,1957,Hip,CompShg,BrkFace,BrkFace,None,0,Typical,Typical,CBlock,Typical,Typical,No,ALQ,1,Rec,661,628,1478,GasA,Good,Y,SBrkr,1478,0,0,1478,1,0,1,1,3,1,Typical,6,Typ,2,Good,Attchd,1957.0,RFn,2,442,Typical,Typical,Paved,114,0,0,0,216,0,No_Pool,No_Fence,None,0,6,2009,WD ,Normal,-93.61864,42.044125,156500
632,535154060,One_Story_1946_and_Newer_All_Styles,Residential_Low_Density,0,12285,Pave,No_Alley_Access,Slightly_Irregular,Lvl,AllPub,Inside,Gtl,North_Ames,Norm,Norm,OneFam,One_Story,Good,Above_Average,1960,1960,Gable,CompShg,Plywood,Plywood,BrkFace,128,Typical,Typical,CBlock,Typical,Typical,No,BLQ,2,Unf,0,785,1329,GasA,Good,Y,SBrkr,1329,0,0,1329,0,0,1,1,3,1,Typical,5,Typ,2,Good,Attchd,1960.0,Unf,2,441,Typical,Typical,Paved,0,0,203,0,0,0,No_Pool,No_Fence,None,0,8,2009,WD ,Normal,-93.61488,42.043991,176000
633,535154130,One_Story_1946_and_Newer_All_Styles,Residential_Low_Density,66,9240,Pave,No_Alley_Access,Slightly_Irregular,Lvl,AllPub,Inside,Gtl,North_Ames,Norm,Norm,OneFam,One_Story,Above_Average,Very_Good,1959,1998,Hip,CompShg,MetalSd,MetalSd,None,0,Good,Typical,CBlock,Typical,Typical,No,ALQ,1,Unf,0,280,988,GasA,Typical,Y,SBrkr,988,0,0,988,1,0,2,0,3,1,Good,6,Typ,0,No_Fireplace,Attchd,1959.0,Unf,1,297,Typical,Typical,Paved,156,0,0,0,0,0,No_Pool,No_Fence,None,0,6,2009,WD ,Normal,-93.616434,42.044083,149500
634,535175030,One_Story_1946_and_Newer_All_Styles,Residential_Low_Density,80,9600,Pave,No_Alley_Access,Regular,Lvl,AllPub,Inside,Gtl,North_Ames,Feedr,Norm,OneFam,One_Story,Above_Average,Above_Average,1958,1988,Hip,CompShg,Wd Sdng,Wd Sdng,BrkCmn,183,Typical,Typical,CBlock,Typical,Typical,No,Rec,6,LwQ,620,0,1240,GasA,Good,Y,SBrkr,1632,0,0,1632,1,0,2,0,3,1,Typical,6,Min1,1,Good,Attchd,1958.0,RFn,1,338,Typical,Typical,Paved,289,0,0,0,0,0,No_Pool,Minimum_Privacy,None,0,4,2009,WD ,Normal,-93.614751,42.045473,139000
636,535178040,One_Story_1946_and_Newer_All_Styles,Residential_Low_Density,70,8750,Pave,No_Alley_Access,Regular,Lvl,AllPub,Inside,Gtl,North_Ames,Norm,Norm,OneFam,One_Story,Average,Average,1956,1956,Gable,CompShg,BrkFace,BrkFace,None,0,Typical,Typical,CBlock,Typical,Typical,No,Rec,6,BLQ,202,565,1202,GasA,Typical,Y,SBrkr,1202,0,0,1202,0,1,1,0,3,1,Typical,6,Typ,0,No_Fireplace,Attchd,1956.0,RFn,1,304,Typical,Typical,Paved,0,35,120,0,0,0,No_Pool,Good_Wood,None,0,11,2009,COD,Abnorml,-93.614768,42.04297,120000
638,535179160,One_Story_1946_and_Newer_All_Styles,Residential_Low_Density,80,10400,Pave,No_Alley_Access,Regular,Lvl,AllPub,Corner,Gtl,North_Ames,Norm,Norm,OneFam,One_Story,Below_Average,Average,1956,1956,Gable,CompShg,Plywood,Plywood,None,0,Typical,Typical,CBlock,Typical,Typical,No,Rec,6,LwQ,750,295,1200,GasA,Typical,Y,SBrkr,1200,0,0,1200,1,0,1,0,3,1,Typical,6,Typ,2,Good,Attchd,1956.0,Unf,1,294,Typical,Typical,Paved,0,189,140,0,0,0,No_Pool,No_Fence,None,0,11,2009,WD ,Family,-93.614543,42.043238,144000
639,535300120,Split_or_Multilevel,Residential_Low_Density,120,19296,Pave,No_Alley_Access,Regular,Lvl,AllPub,Corner,Gtl,North_Ames,Artery,Norm,OneFam,SLvl,Above_Average,Average,1962,1962,Gable,CompShg,Wd Sdng,Wd Sdng,BrkFace,399,Typical,Typical,CBlock,Typical,Typical,Gd,Rec,6,ALQ,690,0,1362,GasA,Typical,Y,SBrkr,1382,0,0,1382,1,0,1,0,3,1,Typical,6,Typ,1,Typical,Attchd,1991.0,Unf,2,884,Typical,Typical,Paved,0,0,252,0,0,0,No_Pool,Good_Wood,None,0,5,2009,WD ,Normal,-93.620016,42.040931,176000
642,535303110,One_Story_1946_and_Newer_All_Styles,Residential_Low_Density,53,8128,Pave,No_Alley_Access,Slightly_Irregular,Lvl,AllPub,CulDSac,Gtl,North_Ames,Norm,Norm,OneFam,One_Story,Above_Average,Good,1954,1954,Hip,CompShg,MetalSd,MetalSd,BrkFace,80,Typical,Typical,CBlock,Typical,Typical,No,ALQ,1,Unf,0,572,1062,GasA,Good,Y,SBrkr,1062,0,0,1062,1,0,1,0,3,1,Typical,6,Typ,0,No_Fireplace,Attchd,1954.0,Unf,1,297,Typical,Typical,Paved,0,0,0,0,0,0,No_Pool,No_Fence,None,0,2,2009,WD ,Normal,-93.618549,42.039674,131000
643,535303150,One_Story_1946_and_Newer_All_Styles,Residential_Low_Density,79,10634,Pave,No_Alley_Access,Regular,Lvl,AllPub,Inside,Gtl,North_Ames,Norm,Norm,OneFam,One_Story,Average,Above_Average,1953,1953,Gable,CompShg,MetalSd,MetalSd,None,0,Typical,Typical,PConc,Typical,Typical,No,BLQ,2,LwQ,180,0,608,GasA,Typical,Y,SBrkr,1319,0,0,1319,1,0,1,0,3,1,Typical,5,Min2,0,No_Fireplace,Attchd,1953.0,Unf,1,270,Typical,Typical,Paved,66,0,0,0,0,0,No_Pool,Good_Wood,None,0,11,2009,WD ,Normal,-93.6190376,42.0385265,123000
644,535304100,One_Story_1946_and_Newer_All_Styles,Residential_Low_Density,67,13070,Pave,No_Alley_Access,Regular,Lvl,AllPub,Corner,Gtl,North_Ames,Norm,Norm,OneFam,One_Story,Average,Average,1951,1951,Hip,CompShg,MetalSd,MetalSd,None,0,Typical,Typical,CBlock,Typical,Typical,No,Rec,6,Unf,0,323,631,GasA,Typical,Y,FuseA,1112,0,0,1112,0,0,1,0,2,1,Typical,5,Typ,0,No_Fireplace,Basment,1951.0,Unf,2,480,Typical,Typical,Paved,0,0,0,0,255,0,No_Pool,No_Fence,None,0,10,2009,WD ,Normal,-93.617219,42.038356,126000
645,535325290,One_Story_1946_and_Newer_All_Styles,Residential_Low_Density,60,10434,Pave,No_Alley_Access,Regular,Lvl,AllPub,Inside,Gtl,North_Ames,Norm,Norm,OneFam,One_Story,Below_Average,Average,1955,1955,Gable,CompShg,Plywood,Plywood,None,0,Typical,Typical,CBlock,Typical,Typical,No,Unf,7,Unf,0,1005,1005,GasA,Typical,Y,SBrkr,1005,0,0,1005,0,0,1,0,2,1,Fair,5,Typ,1,Typical,Detchd,1977.0,Unf,2,672,Fair,Fair,Paved,0,0,0,0,0,0,No_Pool,No_Fence,None,0,11,2009,WD ,Normal,-93.6124,42.038398,115000
646,535351050,One_Story_1946_and_Newer_All_Styles,Residential_Low_Density,75,14559,Pave,No_Alley_Access,Regular,Lvl,AllPub,Inside,Gtl,North_Ames,Norm,Norm,OneFam,One_Story,Average,Good,1951,2000,Hip,CompShg,Wd Sdng,Wd Sdng,BrkCmn,70,Good,Typical,CBlock,Typical,Typical,No,BLQ,2,Rec,180,178,1008,GasA,Excellent,Y,SBrkr,1363,0,0,1363,1,0,1,0,2,1,Typical,6,Min1,2,Typical,CarPort,1951.0,Unf,1,288,Typical,Typical,Paved,324,42,0,0,168,0,No_Pool,No_Fence,Shed,2000,6,2009,WD ,Normal,-93.617207,42.037122,164900
647,535352090,One_Story_1945_and_Older,Residential_Low_Density,80,8480,Pave,No_Alley_Access,Regular,Lvl,AllPub,Corner,Gtl,North_Ames,Norm,Norm,OneFam,One_Story,Average,Above_Average,1945,1950,Gable,CompShg,MetalSd,MetalSd,None,0,Typical,Good,CBlock,Typical,Typical,No,BLQ,2,Unf,0,93,793,GasA,Typical,Y,SBrkr,793,0,0,793,1,0,1,0,2,1,Fair,4,Typ,0,No_Fireplace,Detchd,1945.0,Unf,1,240,Typical,Typical,Paved,0,0,0,0,0,0,No_Pool,No_Fence,None,0,8,2009,WD ,Normal,-93.6167912,42.0372232,113000
648,535353040,One_Story_1946_and_Newer_All_Styles,Residential_Low_Density,60,7626,Pave,No_Alley_Access,Regular,Lvl,AllPub,Inside,Gtl,North_Ames,Norm,Norm,OneFam,One_Story,Average,Very_Good,1952,2005,Hip,CompShg,Wd Sdng,Wd Sdng,None,0,Good,Typical,CBlock,Typical,Typical,No,GLQ,3,Unf,0,100,1031,GasA,Good,Y,SBrkr,1031,0,0,1031,1,0,1,0,2,1,Good,5,Typ,0,No_Fireplace,Attchd,1952.0,Unf,1,230,Typical,Typical,Paved,0,0,0,0,0,0,No_Pool,Minimum_Privacy,None,0,3,2009,WD ,Normal,-93.618605,42.034918,145500
649,535353060,One_Story_1946_and_Newer_All_Styles,Residential_Low_Density,75,9533,Pave,No_Alley_Access,Regular,Lvl,AllPub,Inside,Gtl,North_Ames,Norm,Norm,OneFam,One_Story,Average,Average,1953,1953,Hip,CompShg,Wd Sdng,Wd Sdng,BrkFace,140,Typical,Typical,Slab,No_Basement,No_Basement,No_Basement,No_Basement,5,No_Basement,0,0,0,GasA,Typical,Y,FuseA,1210,0,0,1210,0,0,1,1,2,1,Typical,7,Typ,0,No_Fireplace,Attchd,1953.0,Fin,1,616,Typical,Typical,Paved,208,0,100,0,0,0,No_Pool,Minimum_Privacy,None,0,8,2009,ConLD,Normal,-93.618607,42.034686,102900
650,535353140,Two_Family_conversion_All_Styles_and_Ages,Residential_Low_Density,107,10615,Pave,No_Alley_Access,Slightly_Irregular,Bnk,AllPub,Corner,Mod,Old_Town,Artery,Artery,TwoFmCon,Two_Story,Fair,Average,1900,1970,Gable,CompShg,HdBoard,HdBoard,None,0,Typical,Typical,CBlock,Fair,Typical,Mn,BLQ,2,Unf,0,538,978,GasA,Typical,Y,SBrkr,1014,685,0,1699,1,0,2,0,3,2,Typical,7,Typ,0,No_Fireplace,CarPort,1920.0,Unf,2,420,Fair,Fair,Paved,0,74,0,0,0,0,No_Pool,No_Fence,None,0,8,2009,WD ,Abnorml,-93.62008,42.034754,95000
651,535353240,Two_Story_1946_and_Newer,Residential_Low_Density,78,11419,Pave,No_Alley_Access,Regular,Lvl,AllPub,Corner,Gtl,North_Ames,Artery,Norm,OneFam,Two_Story,Good,Good,1948,1999,Gable,CompShg,WdShing,Wd Shng,None,0,Typical,Typical,CBlock,Typical,Typical,Mn,ALQ,1,Unf,0,0,699,GasA,Excellent,Y,FuseA,801,726,0,1527,1,0,1,1,3,1,Typical,6,Typ,1,Good,Attchd,1948.0,Unf,2,410,Typical,Typical,Paved,0,0,134,0,0,0,No_Pool,Good_Wood,None,0,12,2009,WD ,Normal,-93.620336,42.036223,152500
652,535354070,One_Story_1946_and_Newer_All_Styles,Residential_Low_Density,60,9600,Pave,No_Alley_Access,Regular,Lvl,AllPub,Inside,Gtl,North_Ames,Norm,Norm,OneFam,One_Story,Average,Above_Average,1950,1950,Gable,CompShg,Wd Sdng,Wd Sdng,None,0,Typical,Typical,CBlock,Typical,Typical,No,BLQ,2,Unf,0,810,1200,GasA,Typical,Y,SBrkr,1200,0,0,1200,0,0,1,0,3,1,Typical,6,Typ,0,No_Fireplace,Attchd,1950.0,Fin,1,246,Typical,Typical,Paved,126,0,0,0,0,0,No_Pool,Good_Wood,None,0,8,2009,WD ,Normal,-93.61719,42.035829,129900
653,535354100,One_Story_1946_and_Newer_All_Styles,Residential_Low_Density,50,8000,Pave,No_Alley_Access,Regular,Lvl,AllPub,Inside,Gtl,North_Ames,Norm,Norm,OneFam,One_Story,Above_Average,Above_Average,1948,2002,Gable,CompShg,VinylSd,VinylSd,None,0,Typical,Good,CBlock,Typical,Typical,No,ALQ,1,Unf,0,292,972,GasA,Excellent,Y,SBrkr,972,0,0,972,1,0,1,0,2,1,Typical,5,Typ,1,Good,Detchd,1948.0,Unf,1,240,Typical,Typical,Paved,0,0,0,0,0,0,No_Pool,No_Fence,None,0,5,2009,WD ,Normal,-93.617182,42.034746,132000
655,535375050,One_and_Half_Story_Finished_All_Ages,Residential_Low_Density,60,10410,Pave,No_Alley_Access,Regular,Lvl,AllPub,Inside,Gtl,Old_Town,Norm,Norm,OneFam,One_and_Half_Fin,Average,Good,1916,1987,Gable,CompShg,HdBoard,HdBoard,None,0,Typical,Typical,CBlock,Fair,Typical,No,Unf,7,Unf,0,660,660,GasA,Excellent,Y,SBrkr,808,704,144,1656,0,0,2,1,3,1,Typical,8,Min2,0,No_Fireplace,Detchd,1916.0,Unf,1,180,Fair,Fair,Dirt_Gravel,0,0,0,140,0,0,No_Pool,Minimum_Privacy,None,0,8,2009,WD ,Normal,-93.6144209,42.037679,135000
656,535376060,Two_Story_1946_and_Newer,Residential_Low_Density,60,10800,Pave,No_Alley_Access,Regular,Lvl,AllPub,Inside,Gtl,Old_Town,Norm,Norm,OneFam,Two_Story,Average,Good,1939,2006,Gable,CompShg,VinylSd,VinylSd,None,0,Typical,Good,BrkTil,Typical,Typical,No,Unf,7,Unf,0,676,676,GasA,Excellent,Y,SBrkr,676,676,0,1352,0,1,2,0,4,1,Good,7,Typ,0,No_Fireplace,Detchd,1939.0,Unf,2,720,Typical,Typical,Paved,187,0,128,0,0,0,No_Pool,No_Fence,None,0,8,2009,WD ,Normal,-93.61239,42.037144,149000
657,535377150,Two_Story_1945_and_Older,Residential_Low_Density,80,8146,Pave,No_Alley_Access,Regular,Lvl,AllPub,Corner,Gtl,Old_Town,Norm,Norm,OneFam,Two_Story,Below_Average,Very_Good,1900,2003,Gable,CompShg,MetalSd,MetalSd,None,0,Good,Good,BrkTil,Fair,Typical,No,Unf,7,Unf,0,405,405,GasA,Good,Y,SBrkr,717,322,0,1039,0,0,1,0,2,1,Typical,6,Typ,0,No_Fireplace,Detchd,1940.0,Unf,1,281,Typical,Typical,Dirt_Gravel,0,0,168,0,111,0,No_Pool,No_Fence,None,0,5,2009,WD ,Normal,-93.612241,42.037328,114000
658,535378020,One_Story_1945_and_Older,Residential_Low_Density,52,9022,Pave,No_Alley_Access,Regular,Lvl,AllPub,Inside,Gtl,Old_Town,Norm,Norm,OneFam,One_Story,Average,Very_Good,1924,2006,Gable,CompShg,VinylSd,VinylSd,None,0,Good,Typical,BrkTil,Typical,Typical,No,Unf,7,Unf,0,768,768,GasA,Excellent,Y,SBrkr,792,0,0,792,0,0,1,0,2,1,Good,5,Typ,0,No_Fireplace,Detchd,1924.0,Unf,1,240,Fair,Fair,Dirt_Gravel,316,0,120,0,0,0,No_Pool,No_Fence,None,0,5,2009,WD ,Normal,-93.614049,42.036015,109500
662,535383060,One_Story_1945_and_Older,Residential_Low_Density,90,5400,Pave,No_Alley_Access,Regular,Lvl,AllPub,Inside,Gtl,Old_Town,Artery,Norm,OneFam,One_Story,Poor,Average,1940,1950,Gable,CompShg,Stucco,Stucco,None,0,Fair,Typical,PConc,Fair,Typical,No,Unf,7,Unf,0,416,416,GasA,Good,N,FuseA,599,0,0,599,1,0,1,0,2,1,Good,4,Typ,0,No_Fireplace,No_Garage,,No_Garage,0,0,No_Garage,No_Garage,Dirt_Gravel,0,81,0,0,0,0,No_Pool,No_Fence,None,0,6,2009,WD ,Normal,-93.6117397,42.0347572,59000
663,535383070,One_and_Half_Story_Finished_All_Ages,Residential_Low_Density,90,5400,Pave,No_Alley_Access,Regular,Lvl,AllPub,Corner,Gtl,Old_Town,Artery,Norm,OneFam,One_and_Half_Fin,Below_Average,Above_Average,1920,1950,Gable,CompShg,CBlock,CBlock,None,0,Fair,Typical,PConc,Typical,Typical,No,ALQ,1,Rec,105,420,840,GasA,Excellent,Y,SBrkr,840,534,0,1374,0,0,1,0,2,1,Typical,6,Typ,0,No_Fireplace,Detchd,1967.0,Fin,1,338,Typical,Typical,Paved,0,0,198,0,0,0,No_Pool,No_Fence,None,0,10,2009,WD ,Normal,-93.61203,42.0347398,105000
665,535383120,One_Story_1945_and_Older,Residential_Low_Density,60,10800,Pave,Gravel,Regular,Lvl,AllPub,Corner,Gtl,Old_Town,Norm,Norm,OneFam,One_Story,Fair,Average,1890,1998,Gable,CompShg,VinylSd,VinylSd,None,0,Typical,Typical,BrkTil,Typical,Typical,No,Unf,7,Unf,0,630,630,GasA,Typical,Y,FuseA,725,0,0,725,0,0,1,1,1,1,Typical,4,Typ,0,No_Fireplace,Detchd,1959.0,Unf,1,320,Typical,Typical,Paved,0,30,0,0,0,0,No_Pool,No_Fence,None,0,11,2009,WD ,Normal,-93.612254,42.03528,78500
666,535402010,Duplex_All_Styles_and_Ages,Residential_Low_Density,81,9671,Pave,No_Alley_Access,Regular,Lvl,AllPub,Corner,Gtl,North_Ames,Artery,Norm,Duplex,Two_Story,Above_Average,Average,1969,1969,Gable,CompShg,MetalSd,MetalSd,Stone,480,Typical,Typical,CBlock,Typical,Typical,No,Unf,7,Unf,0,1248,1248,GasA,Typical,Y,SBrkr,1248,1296,0,2544,0,0,2,2,6,2,Typical,12,Typ,0,No_Fireplace,Attchd,1969.0,RFn,3,907,Typical,Typical,Paved,0,0,0,0,0,0,No_Pool,No_Fence,None,0,8,2009,WD ,Normal,-93.610355,42.0417879,190000
667,535402090,One_Story_1946_and_Newer_All_Styles,Residential_Low_Density,83,10143,Pave,No_Alley_Access,Regular,Lvl,AllPub,Inside,Gtl,North_Ames,Norm,Norm,OneFam,One_Story,Above_Average,Good,1963,1963,Gable,CompShg,HdBoard,HdBoard,BrkFace,295,Typical,Typical,CBlock,Typical,Typical,No,Rec,6,Unf,0,996,1380,GasA,Fair,Y,SBrkr,1380,0,0,1380,0,0,1,1,3,1,Typical,6,Typ,0,No_Fireplace,Attchd,1963.0,Unf,1,364,Typical,Typical,Paved,0,0,0,0,216,0,No_Pool,Good_Wood,None,0,6,2009,WD ,Normal,-93.607655,42.04015,154000
668,535402270,One_Story_1946_and_Newer_All_Styles,Residential_Low_Density,77,11500,Pave,No_Alley_Access,Slightly_Irregular,Lvl,AllPub,Inside,Gtl,North_Ames,Norm,Norm,OneFam,One_Story,Above_Average,Below_Average,1967,1967,Gable,CompShg,HdBoard,HdBoard,None,0,Fair,Typical,CBlock,Typical,Fair,No,BLQ,2,Rec,60,108,1040,GasA,Good,Y,SBrkr,1040,0,0,1040,1,0,1,0,3,1,Typical,6,Min1,1,Poor,Attchd,1967.0,RFn,2,480,Typical,Typical,Paved,0,0,156,0,0,0,No_Pool,Minimum_Privacy,None,0,5,2009,WD ,Normal,-93.610588,42.040295,163000
671,535403210,One_Story_1946_and_Newer_All_Styles,Residential_Low_Density,90,10454,Pave,No_Alley_Access,Slightly_Irregular,Lvl,AllPub,Corner,Gtl,North_Ames,Norm,Norm,OneFam,One_Story,Above_Average,Above_Average,1957,1957,Hip,CompShg,Plywood,Plywood,Stone,143,Typical,Typical,CBlock,Typical,Typical,No,Rec,6,Unf,0,559,1105,GasA,Good,Y,FuseA,1105,0,0,1105,0,0,1,0,3,1,Typical,5,Typ,0,No_Fireplace,Detchd,1957.0,Unf,1,308,Typical,Typical,Paved,0,0,0,0,0,0,No_Pool,No_Fence,None,0,4,2009,WD ,Normal,-93.608927,42.038349,135000
